"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Introduction.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 2, 4, 84
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\News.jsx", "JavaScript JSX", 0, 0, 195, 0, 0, 0, 0, 1, 10, 206
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Topic.jsx", "JavaScript JSX", 0, 0, 159, 0, 0, 0, 0, 18, 9, 186
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Home\Training.jsx", "JavaScript JSX", 0, 0, 97, 0, 0, 0, 0, 0, 6, 103
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Maintenance\Maintenance.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 2, 5, 42
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Maintenance\maintenance.json.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Topics\GenericTopics.jsx", "JavaScript JSX", 0, 0, 177, 0, 0, 0, 0, 1, 12, 190
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Topics\TopicsSharedComponent\TopicsCarousel.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 0, 0, 5, 14, 141
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Topics\TopicsSharedComponent\TopicsLayout.jsx", "JavaScript JSX", 0, 0, 169, 0, 0, 0, 0, 5, 14, 188
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\TCCS\TCCS.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 12, 18, 133
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\TrainingSharedComponent\TrainingCarousel.jsx", "JavaScript JSX", 0, 0, 300, 0, 0, 0, 0, 18, 22, 340
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\TrainingSharedComponent\TrainingLayout.jsx", "JavaScript JSX", 0, 0, 310, 0, 0, 0, 0, 16, 19, 345
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\Webinar\Webinar.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 9, 15, 127
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\Workday\Workday.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 11, 17, 128
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\Page\Training\e-Jabilization\EJabilization.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 16, 19, 135
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\TopNavBar.jsx", "JavaScript JSX", 0, 0, 597, 0, 0, 0, 0, 10, 41, 648
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\img\Infrastructure.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\img\Productivity.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\img\product.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\img\sitlaptop.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\jabil2.svg", "XML", 0, 0, 0, 0, 0, 28, 0, 1, 1, 30
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\news_dark1.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 18
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\notification_dark1.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\main.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\routes\AdminRoutes.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 6, 5, 38
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\routes\MainRoutes.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 0, 0, 11, 15, 65
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\routes\TopicsRoutes.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 5, 8, 32
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\routes\TrainingRoutes.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\services\api.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 18, 120
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\services\authAPI.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 1, 9, 53
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\services\reportAPI.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\themes\SunMoonSwitch.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\themes\ThemeContext.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 1, 8, 35
"c:\Users\4108231\Desktop\project_ie\my-vite-app\src\themes\themes.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 2, 3, 34
"c:\Users\4108231\Desktop\project_ie\my-vite-app\vite.config.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 2, 1, 37
"c:\Users\4108231\Desktop\project_ie\package-lock.json", "JSON", 0, 1468, 0, 0, 0, 0, 0, 0, 1, 1469
"c:\Users\4108231\Desktop\project_ie\package.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 827, 15747, 9561, 1476, 7, 87, 14, 588, 1289, 29596
